# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-1.69730704369 ADVP  RB
-6.8296256025 ADVP  NNP NN
-13.0601070501 ADVP  DT DT NN
-4.12538843606 ADVP  _over _there
-4.96146420632 ADVP  _a _little
-13.0601070501 ADVP  RP RB
-5.22373728954 ADVP  _almost
-5.22373728954 ADVP  _either
-5.04148158503 ADVP  _yesterday
-6.83159604649 ADVP  DT _little RBR
-13.0601070501 ADVP  RB ADVP
-4.58207057387 ADVP  _right _there
-5.73429954748 ADVP  _any _more
-6.4267886168 ADVP  _very _much
-2.88225065415 ADVP  _there
-6.8296256025 ADVP  RB SBAR
-7.51884350492 ADVP  RB RB PP
-6.13943554583 ADVP  RB _much
-6.83159604649 ADVP  JJ _night
-7.51884350492 ADVP  NP RB
-13.0601070501 ADVP  ADVP PP
-6.83159604649 ADVP  _still
-5.22373728954 ADVP  _anymore
-4.81840389035 ADVP  _today
-7.51884350492 ADVP  NN PP
-5.58024291892 ADVP  _tomorrow
-5.73429954748 ADVP  _downstairs
-6.83159604649 ADVP  _away _from NP
-6.83159604649 ADVP  _not _right _now
-7.51884350492 ADVP  ADVP RB
-13.0601070501 ADVP  PRP
-4.48200692376 ADVP  _down _there
-6.13943554583 ADVP  RB _and RB
-4.81840389035 ADVP  _yet
-5.32905390607 ADVP  _very RB
-13.0601070501 ADVP  NP ADVP
-6.4267886168 ADVP  _right
-4.53078767887 ADVP  _up _there
-7.52277278306 ADVP  _ever
-2.65133922083 ADVP  _now
-7.52277278306 ADVP  _probably
-5.12846302863 ADVP  _at _all
-6.42547369222 ADVP  _so
-6.42547369222 ADVP  RBR
-4.63568725882 ADVP  _really
-7.52277278306 ADVP  _a JJ NN
-6.83159604649 ADVP  _more
-5.58024291892 ADVP  _together
-6.83159604649 ADVP  _one NN
-4.15928544516 ADVP  _over _here
-3.65535187362 ADVP  RB RB
-6.4267886168 ADVP  _over
-5.44628836527 ADVP  RB _there
-3.29238194856 ADVP  _here
-13.0601070501 ADVP  RB JJR
-13.0601070501 ADVP  NOT RB
-13.0601070501 ADVP  DT JJ RB
-6.83159604649 ADVP  _very _well
-6.4267886168 ADVP  _all
-5.91569986976 ADVP  RB NP
-5.73429954748 ADVP  _properly
-5.44678207054 ADVP  _better
-5.58024291892 ADVP  _up _here
-6.8296256025 ADVP  RB RBR
-5.04115236692 ADVP  _maybe
-13.0601070501 ADVP  DT RB
-5.73364143624 ADVP  RB PP
-13.0601070501 ADVP  RB JJ
-4.75388183405 ADVP  _outside
-5.57967874401 ADVP  _only
-5.91648944738 ADVP  _very _carefully
-6.13943554583 ADVP  RB _more
-3.63481660182 ADVP  _too
-4.20094853228 AUX  _'m
-6.59423668149 AUX  _am
-4.07323830842 AUX  _were
-7.28178160651 AUX  _*NULL*
-3.46327151425 AUX  _have
-7.28178160651 AUX  _gets
-5.68132243004 AUX  _has
-3.82639939802 AUX  _is
-5.09453839713 AUX  _been
-3.05694798436 AUX  _'re
-0.957612886684 AUX  _do
-4.20094853228 AUX  _was
-2.77043109157 AUX  _does
-4.72373180207 AUX  _'ve
-6.19064598818 AUX  _being
-6.18877157339 AUX  _be
-6.19064598818 AUX  _get
-2.48032819271 AUX  _are
-2.81471830867 AUX  _'s
-6.59423668149 AUX  _had
-1.460770771 AUX  _did
-6.19064598818 AUX  _'d
-2.19768551304 CC  _but
-6.29618808541 CC  _neither
-2.19846382415 CC  _or
-0.281518311815 CC  _and
-3.84034556857 CC  _so
-5.84365448252 CD  _seventeen
-5.84365448252 CD  _eighteen
-5.84365448252 CD  _ol
-4.76206388142 CD  _twenty
-2.97604330886 CD  _four
-4.76206388142 CD  _ninety
-1.37905669382 CD  _one
-4.25467764196 CD  _sixty
-1.87983198173 CD  _three
-4.25467764196 CD  _nineteen
-4.47653003751 CD  _fourteen
-4.76206388142 CD  _six
-4.47009914718 CD  _half
-3.91968305614 CD  _seven
-5.16324632774 CD  _eleven
-4.25467764196 CD  _dozen
-4.25467764196 CD  _ten
-5.84365448252 CD  _o'
-3.46904314868 CD  _thirty
-1.42511893879 CD  _two
-4.07321778276 CD  _twelve
-5.16324632774 CD  _zero
-3.66919048942 CD  _eight
-4.07321778276 CD  _fifty
-5.84365448252 CD  _thirteen
-4.47653003751 CD  _nine
-5.16324632774 CD  _forty
-3.09508613052 CD  _five
-2.98773910359 COMP  _as
-4.58534255838 COMP  _unless
-5.26389093952 COMP  _but
-5.26389093952 COMP  _till
-2.80219852706 COMP  _for
-2.34494580918 COMP  _that
-4.58534255838 COMP  _since
-3.49658256615 COMP  _before
-3.3431393501 COMP  _like
-3.21013888395 COMP  _until
-2.51885216905 COMP  _while
-4.18479146507 COMP  _whether
-4.58534255838 COMP  _except
-1.95843861481 COMP  _so
-5.26389093952 COMP  _til
-3.21013888395 COMP  _after
-4.58534255838 COMP  _about
-1.76081736628 COMP  _if
-4.58534255838 COMP  _long
-1.76343859976 COMP  _because
-4.48412773085 COP  _'m
-5.91796988377 COP  _am
-3.50485361697 COP  _were
-12.3980144457 COP  _have
-1.22005834723 COP  _is
-6.14034685782 COP  _been
-2.95505555205 COP  _'re
-2.41220985068 COP  _was
-12.3980144457 COP  _being
-3.31006772194 COP  _be
-2.32027951164 COP  _are
-0.961959225989 COP  _'s
-7.56265489591 DT  _dose
-5.77695238039 DT  _every
-5.26624827069 DT  _these
-6.18181013956 DT  _each
-7.56265489591 DT  _neither
-3.58047061972 DT  _that
-4.07297781159 DT  _another
-6.18181013956 DT  _both
-0.929636850995 DT  _a
-6.8731374834 DT  _either
-3.98559801549 DT  _this
-3.67758611657 DT  _any
-3.23857023006 DT  _some
-0.92826914531 DT  _the
-4.79597125556 DT  _those
-5.95903095334 DT  _de
-7.56265489591 DT  _dat
-6.8731374834 DT  _such
-4.10384965768 DT  _no
-4.39080991416 DT  _all
-3.65732087864 DT  _an
-7.56265489591 DT  _less
-13.1830557616 DT  _few
-5.34710753072 EX  _it
-0.00477327875266 EX  _there
-14.0334839671 FRAG  INTJ VP .
-4.92972708052 FRAG  _just IN NP .
-5.2661548193 FRAG  NP WP _?
-14.0334839671 FRAG  CC SBARQ
-6.87496996977 FRAG  _because NP VP .
-4.86074162554 FRAG  _Adam _.
-5.95914627301 FRAG  _when NP VP .
-6.87496996977 FRAG  _if NP VBP WHNP .
-14.0334839671 FRAG  ADJP , ADJP , ADJP .
-4.86074162554 FRAG  NP PP _?
-4.86074162554 FRAG  _what PP _?
-14.0334839671 FRAG  ADVP NP PP .
-5.95914627301 FRAG  RB SBAR .
-7.56578524099 FRAG  WHADVP NOT VP .
-7.56578524099 FRAG  VP NP WHNP .
-7.56733924286 FRAG  ADJP , NP _, NP .
-6.87496996977 FRAG  CD _.
-14.0334839671 FRAG  CC ADVP PP CC S .
-6.87496996977 FRAG  _and WHNP IN IN _the NN _?
-7.56578524099 FRAG  ADVP VP
-5.95914627301 FRAG  _careful
-5.77661711812 FRAG  NOT PP
-14.0334839671 FRAG  INTJ , S , SQ , CC FRAG .
-14.0334839671 FRAG  WHNP , NP .
-6.8741920623 FRAG  VP , VP .
-7.56733924286 FRAG  ADJP , NP _.
-7.56733924286 FRAG  NP _!
-14.0334839671 FRAG  NP NP NP NP .
-6.87496996977 FRAG  _what VP
