# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-7.01258955553 NN  _beard
-5.62637404198 NN  _color
-8.80371846796 NN  _sifter
-8.11094957376 NN  _chest
-8.80371846796 NN  _grace
-8.11094957376 NN  _milkman
-7.19488588242 NN  _il
-6.85845689746 NN  _candy
-8.11094957376 NN  _combination
-7.70561059292 NN  _compass
-7.01258955553 NN  _pin
-8.80371846796 NN  _lumber
-6.40651109503 NN  _rocket
-8.80371846796 NN  _party
-16.6837666689 NN  _me
-7.70561059292 NN  _nest
-6.72493902136 NN  _cheese
-8.11094957376 NN  _pitcher
-6.72493902136 NN  _mixer
-7.19488588242 NN  _desk
-6.60716649868 NN  _dumdum
-6.85845689746 NN  _country
-8.11094957376 NN  _meadow
-8.11094957376 NN  _bandage
-7.41799159006 NN  _tuner
-8.80371846796 NN  _permission
-8.80371846796 NN  _hood
-8.11094957376 NN  _model
-5.91406137115 NN  _room
-7.01258955553 NN  _spaghetti
-7.01258955553 NN  _pocketbook
-8.80371846796 NN  _raven
-8.80371846796 NN  _fox
-8.80371846796 NN  _tone
-8.80371846796 NN  _date
-6.60716649868 NN  _lunch
-8.80371846796 NN  _south
-8.11094957376 NN  _merrygoround
-8.80371846796 NN  _winter
-8.80371846796 NN  _dime
-5.97121731124 NN  _cat
-6.85845689746 NN  _girl
-8.80371846796 NN  _cocoa
-7.70561059292 NN  _dozen
-8.80371846796 NN  _none
-8.80371846796 NN  _iron
-8.11094957376 NN  _magnet
-8.80371846796 NN  _thimble
-7.70561059292 NN  _locomotive
-7.70561059292 NN  _potato
-8.80371846796 NN  _fall
-7.70561059292 NN  _lamb
-8.11094957376 NN  _germ
-8.11094957376 NN  _snap
-8.11094957376 NN  _trip
-5.66894805532 NN  _doctor
-8.80371846796 NN  _museum
-8.11094957376 NN  _spaceship
-8.80371846796 NN  _starfish
-8.80371846796 NN  _editor
-6.50181439349 NN  _pie
-8.80371846796 NN  _mantle
-8.80371846796 NN  _caterpillar
-8.80371846796 NN  _gasoline
-7.19488588242 NN  _comb
-5.91406137115 NN  _stick
-8.80371846796 NN  _pal
-8.80371846796 NN  _style
-7.70561059292 NN  _doughnut
-7.70561059292 NN  _ballerina
-8.80371846796 NN  _seesaw
-8.80371846796 NN  _enc
-8.11094957376 NN  _brace
-5.91406137115 NN  _face
-8.11094957376 NN  _job
-7.70561059292 NN  _bathtub
-7.70561059292 NN  _eagle
-6.23946759714 NN  _broom
-7.01258955553 NN  _bug
-7.41799159006 NN  _nothing
-7.70561059292 NN  _suit
-7.70561059292 NN  _stem
-8.11094957376 NN  _cover
-8.80371846796 NN  _black
-7.19488588242 NN  _fellow
-7.41799159006 NN  _bib
-7.70561059292 NN  _any
-7.41799159006 NN  _nl
-7.70561059292 NN  _elbow
-6.23946759714 NN  _shoe
-8.80371846796 NN  _slice
-8.80371846796 NN  _fastener
-8.80371846796 NN  _plane
-8.80371846796 NN  _guarantee
-7.01258955553 NN  _wing
-8.80371846796 NN  _raft
-7.01258955553 NN  _carpenter
-8.80371846796 NN  _yak
-8.11094957376 NN  _sponge
-8.80371846796 NN  _chin
-7.19488588242 NN  _dairy
-8.11094957376 NN  _peach
-6.85845689746 NN  _music
-8.11094957376 NN  _daisy
-8.11094957376 NN  _course
-7.41799159006 NN  _choochoo
-6.60716649868 NN  _glove
-7.19488588242 NN  _donkey
-8.80371846796 NN  _cowgirl
-7.70561059292 NN  _mosquito
-8.80371846796 NN  _seed
-8.11094957376 NN  _visit
-6.60716649868 NN  _duck
-8.80371846796 NN  _dark
-8.80371846796 NN  _stapler
-7.70561059292 NN  _office
-8.80371846796 NN  _rainbow
-8.80371846796 NN  _north
-8.11094957376 NN  _metal
-7.70561059292 NN  _cage
-6.1653637841 NN  _brother
-16.6837666689 NN  _they
-7.19488588242 NN  _briefcase
-7.01258955553 NN  _strawberry
-6.60716649868 NN  _bench
-6.60716649868 NN  _racket
-5.50861028111 NN  _boat
-7.01258955553 NN  _bunnyrabbit
-7.19488588242 NN  _blade
-8.11094957376 NN  _magician
-8.80371846796 NN  _crab
-8.11094957376 NN  _lollipop
-7.19488588242 NN  _drum
-7.19488588242 NN  _pill
-8.80371846796 NN  _dial
-8.80371846796 NN  _shoulder
-4.87256791695 NN  _way
-8.80371846796 NN  _popper
-5.97121731124 NN  _line
-8.80371846796 NN  _barber
-6.60716649868 NN  _balloon
-7.01258955553 NN  _button
-8.11094957376 NN  _cheek
-6.60716649868 NN  _bee
-6.72493902136 NN  _handle
-7.41799159006 NN  _bridle
-8.80371846796 NN  _zipper
-7.19488588242 NN  _harpsichord
-6.50181439349 NN  _station
-7.70561059292 NN  _towel
-5.75991669905 NN  _side
-7.70561059292 NN  _label
-8.80371846796 NN  _fighter
-8.80371846796 NN  _hen
-8.80371846796 NN  _cousin
-7.70561059292 NN  _stethoscope
-8.11094957376 NN  _spanking
-8.80371846796 NN  _suppertime
-8.11094957376 NN  _tummy
-8.11094957376 NN  _cook
-8.80371846796 NN  _lion_fishc
-8.11094957376 NN  _package
-6.60716649868 NN  _bike
-6.31950545253 NN  _track
-8.80371846796 NN  _fatso
-6.23946759714 NN  _block
-8.80371846796 NN  _tent
-6.60716649868 NN  _screwdriver
-5.8087050609 NN  _juice
-7.70561059292 NN  _Daddy
-8.11094957376 NN  _baker
-8.80371846796 NN  _imp
-7.41799159006 NN  _city
-6.50181439349 NN  _pan
-8.80371846796 NN  _more
-8.80371846796 NN  _grass
-8.11094957376 NN  _stone
-8.80371846796 NN  _copy
-6.31950545253 NN  _macaroni
-8.80371846796 NN  _chowder
-8.80371846796 NN  _blueberry
-6.1653637841 NN  _window
-4.93325840218 NN  _fish
-8.80371846796 NN  _rally
-8.80371846796 NN  _note
-7.41799159006 NN  _corn
-7.70561059292 NN  _dance
-8.80371846796 NN  _stroller
-8.11094957376 NN  _green
-8.80371846796 NN  _design
-5.11556734255 NN  _box
-8.11094957376 NN  _wrench
-8.11094957376 NN  _toaster
-7.01258955553 NN  _recorder
-8.80371846796 NN  _tune
-8.80371846796 NN  _rider
-7.41799159006 NN  _bottom
-8.80371846796 NN  _inside
-8.11094957376 NN  _jug
-8.80371846796 NN  _step
-7.70561059292 NN  _plate
-6.40651109503 NN  _mirror
-8.11094957376 NN  _jl
-8.80371846796 NN  _short
-8.11094957376 NN  _ham
-8.80371846796 NN  _diesel
-5.85999636325 NN  _bottle
-7.19481019651 NN  _paint
-8.11094957376 NN  _lap
-6.72493902136 NN  _banana
-8.80371846796 NN  _slide
-6.72493902136 NN  _moon
-8.80371846796 NN  _tennis
-7.41799159006 NN  _summer
-8.11076041269 NN  _mark
-8.80371846796 NN  _mule
-8.80371846796 NN  _darts
-7.41799159006 NN  _wheelbarrow
-8.80371846796 NN  _lake
-6.31950545253 NN  _suitcase
-8.11094957376 NN  _monster
-8.80371846796 NN  _corral
-8.80371846796 NN  _genie
-8.80371846796 NN  _grey
-8.80371846796 NN  _patch
-8.80371846796 NN  _peanut
-8.11094957376 NN  _player
-8.80371846796 NN  _caboozlewp
-8.80371846796 NN  _pistol
-5.75991669905 NN  _dirt
-6.50181439349 NN  _barn
-6.85845689746 NN  _anyone
-8.80371846796 NN  _Clown
-6.85845689746 NN  _unicorn
-7.19488588242 NN  _difference
-6.03183915008 NN  _horn
-8.80371846796 NN  _momma
-6.03183915008 NN  _key
-8.80371846796 NN  _trim
-8.11094957376 NN  _mud
-4.99779587195 NN  _game
-8.11094957376 NN  _witch
-6.60716649868 NN  _trash
-8.11094957376 NN  _waffle
-7.41799159006 NN  _newspaper
-6.60716649868 NN  _tricycle
-8.80371846796 NN  _battery
-8.80371846796 NN  _ballie
-6.72493902136 NN  _refrigerator
-7.70561059292 NN  _radiator
-7.41789698716 NN  _table
-6.85845689746 NN  _zoo
-6.03183915008 NN  _food
-8.80371846796 NN  _current
-8.11094957376 NN  _class
-8.80371846796 NN  _ranch
-4.83411185754 NN  _time
-7.70561059292 NN  _hill
-7.01258955553 NN  _grapefruit
-7.70561059292 NN  _plug
-8.80371846796 NN  _outlet
-6.85845689746 NN  _giant
-16.6837666689 NN  _these
-8.80371846796 NN  _hospital
-6.85845689746 NN  _fireman
-6.72493902136 NN  _can
-7.19488588242 NN  _toilet
-8.80371846796 NN  _sunrise
-6.0963240542 NN  _morning
-6.16533675013 NN  _hand
-7.19488588242 NN  _target
-7.41799159006 NN  _seat
-8.80371846796 NN  _ferris
-8.11094957376 NN  _practice
-7.01258955553 NN  _queen
-8.80371846796 NN  _aspirin
-6.72493902136 NN  _ship
-7.70561059292 NN  _purse
-6.60716649868 NN  _butter
-7.41799159006 NN  _house_birdc
-8.11094957376 NN  _porcupine
-4.71011169675 NN  _book
-6.60716649868 NN  _diaper
-6.60716649868 NN  _egg
-7.41789698716 NN  _police
-7.70561059292 NN  _saddle
-6.40651109503 NN  _squirrel
-7.41799159006 NN  _bridge
-8.80371846796 NN  _salon
-6.72493902136 NN  _kitchen
-7.70561059292 NN  _fl
-7.41799159006 NN  _guitar
-8.80371846796 NN  _everyone
-8.80371846796 NN  _blow
-8.80371846796 NN  _reeds
-8.80371846796 NN  _tower
-8.11094957376 NN  _care
-8.80371846796 NN  _brain
-6.31950545253 NN  _tea
-5.16686910321 NN  _dog
-8.80371846796 NN  _laundry
-7.70561059292 NN  _wiper
-7.19488588242 NN  _dollar
-8.80371846796 NN  _landing
-8.11094957376 NN  _voice
-8.80371846796 NN  _armor
-6.85845689746 NN  _mother
-8.80371846796 NN  _hunk
-7.70561059292 NN  _castle
-7.01258955553 NN  _propeller
-8.11094957376 NN  _nipple
-8.80371846796 NN  _van
-8.11094957376 NN  _clothesline
-5.85997644313 NN  _sugar
-8.80371846796 NN  _burp
-7.19488588242 NN  _buddy
-7.41799159006 NN  _cracker
-8.80371846796 NN  _list
-7.19488588242 NN  _birdie
-8.80371846796 NN  _pneumonia
-8.11094957376 NN  _stool
-5.24909467993 NN  _top
-7.41789698716 NN  _rug
-8.80371846796 NN  _hanger
-5.85997644313 NN  _back
-8.80371846796 NN  _sookiec
-7.41799159006 NN  _turkey
-6.31947391325 NN  _floor
-7.70561059292 NN  _daytime
-8.80371846796 NN  _both
-8.80371846796 NN  _soap
-8.80371846796 NN  _breast
-8.80371846796 NN  _kiss
-7.19488588242 NN  _bicycle
-8.11094957376 NN  _oil
-7.70561059292 NN  _dress
-7.41799159006 NN  _movie
-7.70561059292 NN  _half
-8.11094957376 NN  _nightnight
-8.80371846796 NN  _jackolantern
-8.80371846796 NN  _a
-8.11094957376 NN  _gift
-8.11094957376 NN  _matching
-8.80371846796 NN  _level
-6.85845689746 NN  _tunnel
-7.19488588242 NN  _change
-8.11094957376 NN  _statue
-8.80371846796 NN  _cape
-8.80371846796 NN  _barbell
-8.80371846796 NN  _moo
-7.19488588242 NN  _shower
-6.72493902136 NN  _pocket
-8.80371846796 NN  _bronze
-7.70561059292 NN  _stamp
-5.30793321378 NN  _ball
-5.22092470413 NN  _coffee
-8.80371846796 NN  _path
-7.70561059292 NN  _bucket
-8.11094957376 NN  _hacec
-8.11094957376 NN  _tooth
-8.80371846796 NN  _paddle
-8.80371846796 NN  _war
-8.80371846796 NN  _fight
-8.80371846796 NN  _teacup
-6.40644228374 NN  _night
-8.11094957376 NN  _syrup
-8.80371846796 NN  _sled
-6.60716649868 NN  _string
-6.50181439349 NN  _grandson
-8.80371846796 NN  _husband
-8.80371846796 NN  _stocking
-6.72489171431 NN  _fun
-16.6837666689 NN  _Driver
-7.41799159006 NN  _deer
-6.85845689746 NN  _building
-8.80371846796 NN  _check
-8.80371846796 NN  _jet
-8.80371846796 NN  _gouda
-8.80371846796 NN  _stair
-8.11094957376 NN  _panda
-5.8087050609 NN  _shirt
-8.80371846796 NN  _buttomc
-4.97580087476 NN  _baby
-8.80371846796 NN  _cl
-7.01258955553 NN  _sun
-7.41799159006 NN  _chimney
-7.70561059292 NN  _walk
-8.80371846796 NN  _prince
-8.11094957376 NN  _weasel
-8.80371846796 NN  _lizard
-8.80371846796 NN  _tinker
-8.11094957376 NN  _same
-8.80371846796 NN  _bleed
-6.40651109503 NN  _drawer
-7.70561059292 NN  _sunshine
-8.80371846796 NN  _dancer
-8.11094957376 NN  _steam
-8.80371846796 NN  _evening
-8.11094957376 NN  _river
-7.19488588242 NN  _yesterday
-8.80371846796 NN  _rosebud
-8.80371846796 NN  _pine
-8.80371846796 NN  _mermaid
-7.70561059292 NN  _carriage
-6.85845689746 NN  _star
-6.40651109503 NN  _cord
-7.70561059292 NN  _while
-8.80371846796 NN  _dough
-7.19488588242 NN  _idea
-7.01258955553 NN  _lot
-7.70548446566 NN  _some
-7.41799159006 NN  _ml
-7.19488588242 NN  _rhinoceros
-8.80371846796 NN  _forest
-8.80371846796 NN  _golf
-6.60716649868 NN  _clown
-8.80371846796 NN  _curtain
-8.11094957376 NN  _dump
-7.41799159006 NN  _raccoon
-6.40651109503 NN  _gas
-7.41799159006 NN  _shoelace
-8.80371846796 NN  _cactus
-8.80371846796 NN  _I
-7.19488588242 NN  _today
-16.6837666689 NN  _zero
-8.80371846796 NN  _order
-8.11094957376 NN  _fair
-4.81546310055 NN  _man
-7.70561059292 NN  _card
-8.80371846796 NN  _shaver
-7.19488588242 NN  _hamburger
-8.11094957376 NN  _dl
-8.80371846796 NN  _frog
-8.80371846796 NN  _opera
-8.80371846796 NN  _flashlight
-6.85845689746 NN  _pad
-7.41799159006 NN  _radio
-6.85845689746 NN  _case
-8.80371846796 NN  _chart
-6.72493902136 NN  _bumble
-8.80371846796 NN  _humdinger
-8.80371846796 NN  _trunk
-8.11094957376 NN  _wind
-8.80371846796 NN  _forehead
-8.11094957376 NN  _collection
-7.19488588242 NN  _engine
-7.41789698716 NN  _arm
-7.70561059292 NN  _envelope
-5.11554841821 NN  _piece
-8.80371846796 NN  _dollie
-7.01258955553 NN  _mask
-8.80371846796 NN  _worm
-5.75991669905 NN  _kitty
-8.80371846796 NN  _state
-5.80864828949 NN  _school
-7.70561059292 NN  _net
-8.80371846796 NN  _centipede
-5.62635827197 NN  _tape
-8.80371846796 NN  _hairpin
-8.80371846796 NN  _purpose
-6.85845689746 NN  _corner
-7.19488588242 NN  _whistle
-8.80371846796 NN  _plunge
-8.11094957376 NN  _lesson
-7.41799159006 NN  _needle
-7.70561059292 NN  _muffin
-7.19488588242 NN  _dat
-4.72691849431 NN  _house
-7.19488588242 NN  _park
-6.03183915008 NN  _bus
-6.85845689746 NN  _monkey
-7.70561059292 NN  _sailboat
-8.11094957376 NN  _hl
-8.11094957376 NN  _lettuce
-8.11094957376 NN  _drill
-8.80371846796 NN  _zebra
-8.80371846796 NN  _emergency
-7.19488588242 NN  _kitten
-6.03183915008 NN  _letter
-6.31950545253 NN  _dinosaur
-6.40651109503 NN  _finger
-8.80371846796 NN  _strike
-7.19488588242 NN  _turn
-7.19488588242 NN  _roller
-8.80371846796 NN  _reel
-8.80371846796 NN  _popcorn
-8.11094957376 NN  _sweater
-16.6837666689 NN  _channel
-4.69357029547 NN  _truck
-7.01258955553 NN  _program
-8.80371846796 NN  _east
-8.80371846796 NN  _bite
-5.4722301208 NN  _doggie
-7.01258955553 NN  _sign
-6.85845689746 NN  _caboose
-7.70548446566 NN  _here
-8.11094957376 NN  _nighttime
-6.85845689746 NN  _mailbox
-8.80371846796 NN  _camper
-8.80371846796 NN  _joy
-7.70561059292 NN  _shop
-7.19488588242 NN  _funnel
-7.70561059292 NN  _rabbit
-6.31950545253 NN  _record
-7.01258955553 NN  _television
-8.11094957376 NN  _tv
-6.23946759714 NN  _watch
-7.41799159006 NN  _blanket
-8.11094957376 NN  _rash
-7.70561059292 NN  _tonight
-8.80371846796 NN  _turntable
-6.60716649868 NN  _ladder
-16.6837666689 NN  _all
-7.41799159006 NN  _mitten
-8.80371846796 NN  _shore
-7.70561059292 NN  _blue
-8.11094957376 NN  _nobody
-8.80371846796 NN  _Humpty_Dumpty
-8.11094957376 NN  _woman
-8.11094957376 NN  _goat
-8.80371846796 NN  _playpen
-7.01258955553 NN  _orange
-8.80371846796 NN  _fingerpaint
-8.80371846796 NN  _bookingc
-8.80371846796 NN  _marker
-7.70561059292 NN  _octopus
-8.11094957376 NN  _pound
-8.80371846796 NN  _measuring
-7.19488588242 NN  _yard
-5.50859626304 NN  _toy
-6.60716649868 NN  _pilot
-8.80371846796 NN  _switcher
-8.11094957376 NN  _sail
-8.80371846796 NN  _notebook
-8.80371846796 NN  _clothespin
-8.80371846796 NN  _orchid
-7.70561059292 NN  _temperature
-8.11094957376 NN  _ant
-8.80371846796 NN  _lemonade
-8.80371846796 NN  _mummy
-8.80371846796 NN  _stretching
-8.80371846796 NN  _bulb
-5.02940996392 NNP  _Jack
-6.53243290552 NNP  _Avenue
-7.22422598973 NNP  _Clever
-5.43472436748 NNP  _el
-7.22422598973 NNP  _Arts
-4.66177793634 NNP  _Rinny
-6.53243290552 NNP  _Washington
-5.83996346135 NNP  _Church
-7.22422598973 NNP  _giraffe
-5.43472436748 NNP  _Rin_tin_tin
-7.22422598973 NNP  _Timmy
-5.61695551245 NNP  _Jocko
-7.22422598973 NNP  _Little
-5.14715532131 NNP  _Catherine
-7.22422598973 NNP  _Colin
-5.83996346135 NNP  _ol
-7.22422598973 NNP  _Prudential
-7.22422598973 NNP  _River
-7.22422598973 NNP  _Kangaroo
-7.22422598973 NNP  _Wheaties
-7.22422598973 NNP  _Putty
-6.12741957063 NNP  _fireman
-6.53243290552 NNP  _Pinnochio
-7.22422598973 NNP  _Goldilocks
-7.22422598973 NNP  _Broadway
-7.22422598973 NNP  _Declarations_of_Independence
-7.22422598973 NNP  _Christ
-6.53243290552 NNP  _Do_Bee
-7.22422598973 NNP  _Howe
-7.22422598973 NNP  _Santa
-7.22422598973 NNP  _Munroe
-7.22422598973 NNP  _June
-7.22422598973 NNP  _Buzz
-5.61695551245 NNP  _Street
-5.83996346135 NNP  _Chicken_Little
-7.22422598973 NNP  _Jello
-6.53243290552 NNP  _Italy
-7.22422598973 NNP  _mommy
-5.28063827253 NNP  _Jesus
-6.53243290552 NNP  _gl
-7.22422598973 NNP  _Colorform
-6.53243290552 NNP  _bandana
-6.53243290552 NNP  _Wednesday
-7.22422598973 NNP  _Worlds_Fair
-7.22422598973 NNP  _Rumplestilskin
-7.22422598973 NNP  _England
-6.53243290552 NNP  _Colgate
-7.22422598973 NNP  _acorn
-7.22422598973 NNP  _pinwheel
-7.22422598973 NNP  _wizard
-7.22422598973 NNP  _Lincoln
-6.53243290552 NNP  _Holland
-7.22422598973 NNP  _Spot
-7.22422598973 NNP  _Leonard
-6.53243290552 NNP  _Indian
-6.53243290552 NNP  _Pepper
-6.53243290552 NNP  _Walter
-7.22422598973 NNP  _Clyde
-7.22422598973 NNP  _buttyc
-6.53243290552 NNP  _Jill
-5.83996346135 NNP  _Bobof
-7.22422598973 NNP  _Cora
-6.53243290552 NNP  _Sally
-7.22422598973 NNP  _Derby
-6.12741957063 NNP  _kl
-7.22422598973 NNP  _Judy
-7.22422598973 NNP  _Kennedy
-6.53243290552 NNP  _York
-7.22422598973 NNP  _robin
-6.53243290552 NNP  _Williams
-7.22422598973 NNP  _saddle
-7.22422598973 NNP  _Koolaid
-6.53175562815 NNP  _diddle
-7.22422598973 NNP  _fl
-7.22422598973 NNP  _Claus
-6.53243290552 NNP  _Picasso
-7.22422598973 NNP  _Pluto
-5.43472436748 NNP  _Ricky
-7.22422598973 NNP  _Cocoamarsh
-5.83996346135 NNP  _al
-7.22422598973 NNP  _Dr
-7.22422598973 NNP  _Bozos
-4.18221976354 NNP  _David
-6.12741957063 NNP  _sl
-6.53243290552 NNP  _Boston
-7.22422598973 NNP  _Children
-6.53243290552 NNP  _Texaco
-6.53243290552 NNP  _Simonize
-7.22422598973 NNP  _Babar
-7.22422598973 NNP  _Utah
-6.53243290552 NNP  _Cambridge
-7.22422598973 NNP  _Muffet
-7.22422598973 NNP  _Shell
-6.53243290552 NNP  _ll
-7.22422598973 NNP  _panjoc
-3.82546730322 NNP  _Cromer
-6.53243290552 NNP  _rl
-4.66177793634 NNP  _Shadow_Gay
-7.22422598973 NNP  _Marx
-6.12741957063 NNP  _Popeye
-7.22422598973 NNP  _bird
-7.22422598973 NNP  _Harvard
-13.8295239107 NNP  _il
-6.12741957063 NNP  _Peter
-7.22422598973 NNP  _Arizona
-6.12741957063 NNP  _Dan
-7.22422598973 NNP  _Ducky_Lucky
-6.53243290552 NNP  _Hampshire
-7.22422598973 NNP  _hassyc
-7.22422598973 NNP  _Monroe
-7.22422598973 NNP  _turkey
-7.22422598973 NNP  _mompsyc
-7.22422598973 NNP  _Disney
-7.22422598973 NNP  _Tower
-7.22422598973 NNP  _walker
-6.53243290552 NNP  _Celia
-6.53243290552 NNP  _Jiminy
-5.83996346135 NNP  _tiger
-3.89458614187 NNP  _Mommy
-7.22422598973 NNP  _Cub_Scout
-7.22422598973 NNP  _Head
-5.83996346135 NNP  _Cecile
-6.53243290552 NNP  _Stripey
-6.53243290552 NNP  _Cricket
-7.22422598973 NNP  _Walt_Disney
-6.53243290552 NNP  _Harvey
-13.8295239107 NNP  _dear
-6.53243290552 NNP  _ul
-2.7159870532 NNP  _Ursula
-5.83996346135 NNP  _Cinderella
-6.12696779741 NNP  _Milkman
-6.53243290552 NNP  _Sheila
-5.83996346135 NNP  _jackinthebox
-6.12741957063 NNP  _Jenny
-7.22422598973 NNP  _Michael
-6.53243290552 NNP  _Cowboy
-7.22422598973 NNP  _Sandy
-7.22422598973 NNP  _Boodyc
-5.83996346135 NNP  _Sky_Dart
-7.22422598973 NNP  _Pete
-7.22422598973 NNP  _Twinkle
-7.22422598973 NNP  _Lion
-7.22422598973 NNP  _Mobilgas
-7.22422598973 NNP  _Twinkles
-6.53243290552 NNP  _Lassie
-1.81958781098 NNP  _Adam
-6.53243290552 NNP  _Greenwich
-6.53243290552 NNP  _Eskimo
-13.8295239107 NNP  _circus
-6.12741957063 NNP  _Willy
-7.22422598973 NNP  _Cecilia
-7.22422598973 NNP  _Major
-5.28063827253 NNP  _Jean
-7.22422598973 NNP  _Dragon
-7.22422598973 NNP  _Trowbridge
-7.22422598973 NNP  _Shadow
-7.22422598973 NNP  _lamb
-6.53243290552 NNP  _Ursla
-6.12741957063 NNP  _Israel
-7.22422598973 NNP  _Mary
-4.39356305752 NNP  _Bozo
-7.22422598973 NNP  _Uncle
-7.22422598973 NNP  _Robbie
-7.22422598973 NNP  _hey_diddle_diddle
-6.53243290552 NNP  _Hobokin
-7.22422598973 NNP  _Driver
-7.22422598973 NNP  _ta
-7.22422598973 NNP  _French
-5.43472436748 NNP  _Donald_Duck
-7.22422598973 NNP  _University
-6.53243290552 NNP  _Duck
-3.56330479263 NNP  _Diandra
-6.53243290552 NNP  _Grant
-6.53243290552 NNP  _Pom
-7.22422598973 NNP  _Mother
-6.12741957063 NNP  _cl
-6.53243290552 NNP  _baby
-7.22422598973 NNP  _College
-4.82879407574 NNP  _honey
-7.22422598973 NNP  _Costello
-7.22422598973 NNP  _Harvard_Square
-5.83996346135 NNP  _Rocky
-4.74180325225 NNP  _Perro
-7.22422598973 NNP  _Statue_of_Liberty
-7.22422598973 NNP  _George
-7.22422598973 NNP  _rifle
-6.12741957063 NNP  _Mickey_Mouse
-7.22422598973 NNP  _Dudley_Do_Right
-7.22422598973 NNP  _Kleenex
-7.22422598973 NNP  _Reggie
-5.83996346135 NNP  _Saturday
-7.22422598973 NNP  _Cathy
-6.53243290552 NNP  _Bob
-6.12741957063 NNP  _Peanut
-6.12741957063 NNP  _Riverside
-7.22422598973 NNP  _Chicken_Licken
-7.22422598973 NNP  _ml
-5.43472436748 NNP  _Mrs
-5.83962453574 NNP  _daisy
-13.8295239107 NNP  _rhinoceros
-6.53243290552 NNP  _Main
-7.22422598973 NNP  _Volkswagen
-7.22422598973 NNP  _Pinocchio
-7.22422598973 NNP  _Billie
-7.22422598973 NNP  _millerc
-7.22422598973 NNP  _Emrie
-7.22422598973 NNP  _Bekaer
-7.22422598973 NNP  _Joey
-6.53243290552 NNP  _Creepy
-13.8295239107 NNP  _spider
-6.53243290552 NNP  _Yogi
-13.8295239107 NNP  _I
-7.22422598973 NNP  _crown
-7.22422598973 NNP  _California
-6.12741957063 NNP  _Bobby
-6.53243290552 NNP  _Adamy
-6.53243290552 NNP  _rodgerc
-7.22422598973 NNP  _America
-7.22422598973 NNP  _New
-5.61695551245 NNP  _Doctor
-7.22422598973 NNP  _wl
-7.22422598973 NNP  _Peppy
-6.53243290552 NNP  _bl
-6.53243290552 NNP  _pat_a_cake
-5.61695551245 NNP  _dl
-5.61695551245 NNP  _Hercules
-7.22422598973 NNP  _Kenner
-7.22422598973 NNP  _Kenny
-6.12741957063 NNP  _Cecelia
-6.12741957063 NNP  _Halloween
-7.22422598973 NNP  _Jones
-7.22422598973 NNP  _Pepsi_Cola
-5.83996346135 NNP  _Bobo
-6.53243290552 NNP  _Seven_up
-7.22422598973 NNP  _Michigan
-6.53243290552 NNP  _Jack_a_weasel
-6.53243290552 NNP  _Bill
-7.22422598973 NNP  _Abbott
-7.22422598973 NNP  _Lee
-6.53243290552 NNP  _Philadelphia
-7.22422598973 NNP  _North_Carolina
-7.22422598973 NNP  _halloween
-7.22422598973 NNP  _Granny
-6.53243290552 NNP  _Park
-7.22422598973 NNP  _Technical
-7.22422598973 NNP  _Texas
-6.53243290552 NNP  _Captain
-6.12741957063 NNP  _pl
-7.22422598973 NNP  _Soakie
-7.22422598973 NNP  _clay
-6.53243290552 NNP  _Donald
-5.43472436748 NNP  _Christmas
-7.22422598973 NNP  _apple
-7.22422598973 NNP  _Pappyf
-7.22422598973 NNP  _Pickle
-7.22422598973 NNP  _Dick
-6.53243290552 NNP  _Flora
-6.53243290552 NNP  _Cliffy
-6.53243290552 NNP  _Scotch
-7.22422598973 NNP  _fuddyduddy
-5.43472436748 NNP  _Missouri
-4.74180325225 NNP  _Joe
-7.22422598973 NNP  _Bunny
-7.22422598973 NNP  _Charles
-7.22422598973 NNP  _Green_jeans
-7.22422598973 NNP  _Underdog
-7.22422598973 NNP  _Gil
-6.53243290552 NNP  _Rumplestiltskin
-3.56323521773 NNP  _Daddy
-6.53243290552 NNP  _hl
-7.22422598973 NNP  _Massachusetts
-4.66125631513 NNP  _Mr
-13.8295239107 NNP  _pan
-7.22422598973 NNP  _Columbus
-7.22422598973 NNP  _God
-5.14698578668 NNP  _Smith
-7.22422598973 NNP  _Sherry
-7.22422598973 NNP  _Darrel
-7.22422598973 NNP  _Bellugi
-2.29237423549 NNP  _Paul
-4.92407959189 NNP  _Bambi
-6.12696779741 NNP  _Rusty
-13.8295239107 NNP  _channel
-5.83996346135 NNP  _Paulie
-7.22422598973 NNP  _Bowl
-7.22422598973 NNP  _Happy
-13.8295239107 NNP  _doggie
-6.53243290552 NNP  _Thursday
-6.12741957063 NNP  _Hans
-7.22422598973 NNP  _Beanstalk
-3.33503265126 NNP  _Robin
-6.53243290552 NNP  _derrick
-6.53243290552 NNP  _tl
-7.22422598973 NNP  _Pablo
-13.8295239107 NNP  _jl
-6.53243290552 NNP  _Alexander
-7.22422598973 NNP  _Wolf
-7.22422598973 NNP  _Provincetown
-5.43472436748 NNP  _Joshua
-7.22422598973 NNP  _Switzerland
-5.83996346135 NNP  _Chatter
-7.22422598973 NNP  _President
-7.22422598973 NNP  _Hector
-7.22422598973 NNP  _Tracy
-7.22422598973 NNP  _Mighty_Mouse
-7.22422598973 NNP  _Flupper_nutter
-6.12741957063 NNP  _Alvin
-7.22422598973 NNP  _Gilbert
-7.22422598973 NNP  _Grace
-7.22422598973 NNP  _South
-6.12741957063 NNP  _nut
-4.74180325225 NNP  _Humpty_Dumpty
-7.22422598973 NNP  _Old_Mac_Donald
